PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Elevation,Tide_Range,MHW,Stature,Soil_Order,Management,Disturbance,Activity,Activity_Time,Current_Land_Use,Previous_Land_Use,CH4,N2O,NEE,DOC,CO2,Salinity_in_Soil,Salinity_in_Water,Species1,Species2,Species3,BD,LOI,C,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits,Unit_Source,Deadwood,Litter,SOC1,SOC1units,SOC1depth,Roots,CalculationMethod,delSOC1Pb,delSOC1units,delSOC2Cs,delSOC2units,delSOC3Marker,delSOC3units,delSOC4SET,delSOC4units,delSOC5RadioC,delSOC5units
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.024,OCg_cc,30,,R,110.2,gC_m2,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_forest,Estuarine Forested Wetland,temperate_cold,,,,,tree,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.033,OCg_cc,30,,R,58,gC_m2,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_forest,Estuarine Forested Wetland,temperate_cold,,,,,tree,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.026,OCg_cc,30,,R,173.1,gC_m2,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,drained,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.022,OCg_cc,30,,R,352.1,gC_m2,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,drained,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.028,OCg_cc,30,,R,91.4,gC_m2,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,drained,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.032,OCg_cc,30,,R,,,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,drained,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.02,OCg_cc,30,,R,,,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,drained,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.018,OCg_cc,30,,R,,,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,flooded restored,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.038,OCg_cc,30,,R,,,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,flooded restored,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.062,OCg_cc,30,,R,,,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,flooded restored,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.078,OCg_cc,30,,R,,,,,,,,,,
11,Crooks,2014,1,1,47.49,-122.02,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_cold,,,,,herb,,R,,flooded restored,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.051,OCg_cc,30,,R,,,,,,,,,,
