PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Elevation,Tide_Range,MHW,Stature,Soil_Order,Management,Disturbance,Activity,Activity_Time,Current_Land_Use,Previous_Land_Use,CH4,N2O,NEE,DOC,CO2,Salinity_in_Soil,Salinity_in_Water,Species1,Species2,Species3,BD,LOI,C,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits,Unit_Source,Deadwood,Litter,SOC1,SOC1units,SOC1depth,Roots,CalculationMethod,delSOC1Pb,delSOC1units,delSOC2Cs,delSOC2units,delSOC3Marker,delSOC3units,delSOC4SET,delSOC4units,delSOC5RadioC,delSOC5units
41,Wieski,2010,1,1,30.98,-81.46,tidal_fresh_marsh,,subtropical,,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,SPCY,SCTA2,ZIMI,,,,640,gC_m2,,,,,,,1,,,8000,gC_m2,30,,R,,,,,,,,,,
41,Wieski,2010,1,1,30.98,-81.46,marsh,,subtropical,,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,SPAL,SPCY,JURO,,,,743,gC_m2,,,,,,,1,,,6800,gC_m2,30,,R,,,,,,,,,,
41,Wieski,2010,1,1,30.98,-81.46,marsh,,subtropical,,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,SPAL,JURO,,,,,470,gC_m2,,,,,,,1,,,6100,gC_m2,30,,R,,,,,,,,,,
