PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Elevation,Tide_Range,MHW,Stature,Soil_Order,Management,Disturbance,Activity,Activity_Time,Current_Land_Use,Previous_Land_Use,CH4,N2O,NEE,DOC,CO2,Salinity_in_Soil,Salinity_in_Water,Species1,Species2,Species3,BD,LOI,C,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits,Unit_Source,Deadwood,Litter,SOC1,SOC1units,SOC1depth,Roots,CalculationMethod,delSOC1Pb,delSOC1units,delSOC2Cs,delSOC2units,delSOC3Marker,delSOC3units,delSOC4SET,delSOC4units,delSOC5RadioC,delSOC5units
8,Craft,2003,1,1,34,-78,marsh,,temperate_warm,poly,,,,herb,,M,,created,1,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,99,gC_m2,,,,,,
8,Craft,2003,1,1,34.5,-77,marsh,,temperate_warm,poly,,,,herb,,M,,created,3,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,39,gC_m2,,,,,,
8,Craft,2003,1,1,34.5,-77,marsh,,temperate_warm,poly,,,,herb,,M,,created,8,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,27,gC_m2,,,,,,
8,Craft,2003,1,1,34.5,-77,marsh,,temperate_warm,poly,,,,herb,,M,,created,11,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,18,gC_m2,,,,,,
8,Craft,2003,1,1,34.5,-77,marsh,,temperate_warm,poly,,,,herb,,M,,created,13,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,62,gC_m2,,,,,,
8,Craft,2003,1,1,35,-76.5,marsh,,temperate_warm,poly,,,,herb,,M,,created,24,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,21,gC_m2,,,,,,
8,Craft,2003,1,1,35,-76.5,marsh,,temperate_warm,poly,,,,herb,,M,,created,26,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,34,gC_m2,,,,,,
8,Craft,2003,1,1,35,-76.5,marsh,,temperate_warm,meso,,,,herb,,M,,created,28,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,39,gC_m2,,,,,,
8,Craft,2003,1,1,34,-78,marsh,,temperate_warm,poly,,,,herb,,N,,natural,1,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,33,gC_m2,,,,,,
8,Craft,2003,1,1,34.5,-77,marsh,,temperate_warm,poly,,,,herb,,N,,natural,3,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,43,gC_m2,,,,,,
8,Craft,2003,1,1,34.5,-77,marsh,,temperate_warm,poly,,,,herb,,N,,natural,8,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,30,gC_m2,,,,,,
8,Craft,2003,1,1,34.5,-77,marsh,,temperate_warm,poly,,,,herb,,N,,natural,11,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,110,gC_m2,,,,,,
8,Craft,2003,1,1,34.5,-77,marsh,,temperate_warm,poly,,,,herb,,N,,natural,13,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,1,gC_m2,,,,,,
8,Craft,2003,1,1,35,-76.5,marsh,,temperate_warm,poly,,,,herb,,N,,natural,26,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,7.5,gC_m2,,,,,,
8,Craft,2003,1,1,35,-76.5,marsh,,temperate_warm,meso,,,,herb,,N,,natural,28,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,,,,,,,,77,gC_m2,,,,,,
