PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Elevation,Tide_Range,MHW,Stature,Soil_Order,Management,Disturbance,Activity,Activity_Time,Current_Land_Use,Previous_Land_Use,CH4,N2O,NEE,DOC,CO2,Salinity_in_Soil,Salinity_in_Water,Species1,Species2,Species3,BD,LOI,C,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits,Unit_Source,Deadwood,Litter,SOC1,SOC1units,SOC1depth,Roots,CalculationMethod,delSOC1Pb,delSOC1units,delSOC2Cs,delSOC2units,delSOC3Marker,delSOC3units,delSOC4SET,delSOC4units,delSOC5RadioC,delSOC5units
5,Castaneda-Moya,2011,1,1,25.37,-81.08,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,10.91,Mg_ha,3176,g_m2,,,1,,,,,,,,,,,,,,,,,
5,Castaneda-Moya,2011,1,1,25.37,-81.08,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,9.73,Mg_ha,2533,g_m2,,,1,,,,,,,,,,,,,,,,,
5,Castaneda-Moya,2011,1,1,25.56,-80.48,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,3.33,Mg_ha,4661,g_m2,597,g_m2,1,,,,,,,,,,,,,,,,,
5,Castaneda-Moya,2011,1,1,25.56,-80.48,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,3.78,Mg_ha,2618,g_m2,371,g_m2,1,,,,,,,,,,,,,,,,,
5,Castaneda-Moya,2011,2,1,30.23,-91.8,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,352,g_m2,1,,,,,,,,,,,,,,,,,
5,Castaneda-Moya,2011,2,1,30.23,-91.8,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,346,g_m2,1,,,,,,,,,,,,,,,,,
5,Castaneda-Moya,2011,2,1,30.23,-91.8,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,307,g_m2,1,,,,,,,,,,,,,,,,,
5,Castaneda-Moya,2011,2,1,26.9,-81.48,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,145,g_m2,1,,,,,,,,,,,,,,,,,
5,Castaneda-Moya,2011,2,1,26.9,-81.48,mangrove,,subtropical,,,,,shrub,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,250,g_m2,1,,,,,,,,,,,,,,,,,
