PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Elevation,Tide_Range,MHW,Stature,Soil_Order,Management,Disturbance,Activity,Activity_Time,Current_Land_Use,Previous_Land_Use,CH4,N2O,NEE,DOC,CO2,Salinity_in_Soil,Salinity_in_Water,Species1,Species2,Species3,BD,LOI,C,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits,Unit_Source,Deadwood,Litter,SOC1,SOC1units,SOC1depth,Roots,CalculationMethod,delSOC1Pb,delSOC1units,delSOC2Cs,delSOC2units,delSOC3Marker,delSOC3units,delSOC4SET,delSOC4units,delSOC5RadioC,delSOC5units
60,Craft,1988,1,1,41.5,-70,marsh,,temperate_warm,poly,,,,,,N,,,,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,0.015732,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.2,-72.7,marsh,,temperate_warm,poly,,,,,,M,,,,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,0.0054,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.2,-72.6,marsh,,temperate_warm,meso,,,,,,N,,,,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,0.034224,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.2,-72.6,marsh,,temperate_warm,meso,,,,,,M,,,,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,0.009432,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.2,-72.7,marsh,,temperate_warm,poly,,,,,,N,,,,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,0.004722,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.5,-70,marsh,,temperate_warm,poly,,,,,,M,,,,,,NA,NA,NA,NA,NA,,,SPAL,,,,,,,,,,,,,,,,,0.00537,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.2,-72.7,marsh,,temperate_warm,meso,,,,,,N,,,,,,NA,NA,NA,NA,NA,,,JURO,DISP,SPCY,,,,,,,,,,,,,,,0.04275,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.2,-72.6,marsh,,temperate_warm,meso,,,,,,M,,,,,,NA,NA,NA,NA,NA,,,JURO,DISP,SPCY,,,,,,,,,,,,,,,0.025734,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.2,-72.6,marsh,,temperate_warm,meso,,,,,,N,,,,,,NA,NA,NA,NA,NA,,,SPAL,SPCY,SPPA,,,,,,,,,,,,,,,0.033522,OCg_cc,30,,C,,,,,,,,,,
60,Craft,1988,1,1,41.2,-72.7,marsh,,temperate_warm,meso,,,,,,M,,,,,,NA,NA,NA,NA,NA,,,SPAL,SPCY,SPPA,,,,,,,,,,,,,,,0.005472,OCg_cc,30,,C,,,,,,,,,,
