PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Elevation,Tide_Range,MHW,Stature,Soil_Order,Management,Disturbance,Activity,Activity_Time,Current_Land_Use,Previous_Land_Use,CH4,N2O,NEE,DOC,CO2,Salinity_in_Soil,Salinity_in_Water,Species1,Species2,Species3,BD,LOI,C,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits,Unit_Source,Deadwood,Litter,SOC1,SOC1units,SOC1depth,Roots,CalculationMethod,delSOC1Pb,delSOC1units,delSOC2Cs,delSOC2units,delSOC3Marker,delSOC3units,delSOC4SET,delSOC4units,delSOC5RadioC,delSOC5units
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,oligo,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.03529468954,OCg_cc,20,,C,88.9,gC_m2,158.4,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,oligo,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.03853521072,OCg_cc,20,,C,116.9,gC_m2,157.9,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,oligo,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.042990856,OCg_cc,20,,C,116.5,gC_m2,151.8,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,meso,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.028772816,OCg_cc,20,,C,62.7,gC_m2,96.7,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,meso,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.0477700885,OCg_cc,20,,C,91.3,gC_m2,117.9,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,meso,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.036260352,OCg_cc,20,,C,87.6,gC_m2,100.3,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.0316156995,OCg_cc,20,,C,111.2,gC_m2,187.5,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.03249077248,OCg_cc,20,,C,40.4,gC_m2,52.3,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.02574762696,OCg_cc,20,,C,52.7,gC_m2,89.6,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.02002720768,OCg_cc,20,,C,57.1,gC_m2,87.7,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.02406267006,OCg_cc,20,,C,57.5,gC_m2,66.2,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.02353660702,OCg_cc,20,,C,48,gC_m2,58.7,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.02198039272,OCg_cc,20,,C,95.8,gC_m2,141.9,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.02146385116,OCg_cc,20,,C,72,gC_m2,79.8,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.02858060318,OCg_cc,20,,C,90.8,gC_m2,87,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,0.01728940928,OCg_cc,20,,C,,,146.7,gC_m2,,,,,,
