PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Elevation,Tide_Range,MHW,Stature,Soil_Order,Management,Disturbance,Activity,Activity_Time,Current_Land_Use,Previous_Land_Use,CH4,N2O,NEE,DOC,CO2,Salinity_in_Soil,Salinity_in_Water,Species1,Species2,Species3,BD,LOI,C,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits,Unit_Source,Deadwood,Litter,SOC1,SOC1units,SOC1depth,Roots,CalculationMethod,delSOC1Pb,delSOC1units,delSOC2Cs,delSOC2units,delSOC3Marker,delSOC3units,delSOC4SET,delSOC4units,delSOC5RadioC,delSOC5units
1,Baldwin,2013,1,1,38.32,-75.46,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_warm,oligo,,0.7,,herb,,N,,none,,,,,,,,,,,POAR6,ACCA4,TYPHA,,,,485,g_m2,,,,,,,1,,,,,,,,,,,,,,,,,
1,Baldwin,2013,1,1,38.32,-75.46,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_warm,oligo,,0.7,,herb,,N,,none,,,,,,,,,,,POAR6,ZIAQ,,,,,90,g_m2,,,,,,,1,,,,,,,,,,,,,,,,,
2,Bianchi,2013,1,1,27.93,-97.02,marsh,Palustrine Emergent Wetlan,subtropical,>18,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,gC_m2,,,,,,
2,Bianchi,2013,1,1,27.93,-97.02,marsh,Palustrine Emergent Wetlan,subtropical,>18,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,gC_m2,,,,,,,,
2,Bianchi,2013,1,1,27.93,-97.02,mangrove,Palustrine Forested Wetlan,subtropical,>18,,,,tree,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,gC_m2,,,,,,
2,Bianchi,2013,1,1,27.93,-97.02,mangrove,Palustrine Forested Wetlan,subtropical,>18,,,,tree,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,gC_m2,,,,,,,,
3,Bouillon,2008,2,1,25.42,-80.05,mangrove,,subtropical,,,,,tree,,N,,,,,,,,,,,,,,,,,,,695,gC_m2,13.9,Mg_ha,,,,,1,,12.2,,,,,,,,,,,,,,,
3,Bouillon,2008,2,1,26.1,-81.8,mangrove,,subtropical,,,,,tree,,N,,,,,,,,,,,,,,,,,,,365.5,gC_m2,7.31,Mg_ha,,,,,1,,,,,,,,,,,,,,,,,
3,Bouillon,2008,2,1,25.8,-81.4,mangrove,,subtropical,,,,,tree,,N,,,,,,,,,,,,,,,,,,,666.5,gC_m2,13.33,Mg_ha,,,,,1,,,,,,,,,,,,,,,,,
3,Bouillon,2008,2,1,25.2,-80.6,mangrove,,subtropical,,,,,tree,,N,,,,,,,,,,,,,,,,,,,628.5,gC_m2,12.57,Mg_ha,,,,,1,,8.46,,,,,,,,,,,,,,,
3,Bouillon,2008,2,1,25.2,-80.6,mangrove,,subtropical,,,,,tree,,N,,,,,,,,,,,,,,,,,,,200.5,gC_m2,4.01,Mg_ha,,,,,1,,8.03,,,,,,,,,,,,,,,
3,Bouillon,2008,2,1,25,-80.7,mangrove,,subtropical,,,,,tree,,N,,,,,,,,,,,,,,,,,,,595,gC_m2,11.9,Mg_ha,,,,,1,,10.68,,,,,,,,,,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,oligo,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03529468954,OCg_cc,20,,C,88.9,gC_m2,158.4,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,oligo,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03853521072,OCg_cc,20,,C,116.9,gC_m2,157.9,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,oligo,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042990856,OCg_cc,20,,C,116.5,gC_m2,151.8,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,meso,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028772816,OCg_cc,20,,C,62.7,gC_m2,96.7,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,meso,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0477700885,OCg_cc,20,,C,91.3,gC_m2,117.9,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,meso,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036260352,OCg_cc,20,,C,87.6,gC_m2,100.3,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0316156995,OCg_cc,20,,C,111.2,gC_m2,187.5,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03249077248,OCg_cc,20,,C,40.4,gC_m2,52.3,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02574762696,OCg_cc,20,,C,52.7,gC_m2,89.6,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02002720768,OCg_cc,20,,C,57.1,gC_m2,87.7,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02406267006,OCg_cc,20,,C,57.5,gC_m2,66.2,gC_m2,,,,,,
4,Callaway,2012,1,1,38,-122,marsh,,mediterranean,poly,,,,herb,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02353660702,OCg_cc,20,,C,48,gC_m2,58.7,gC_m2,,,,,,
